,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_intercept,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
44,0.005429553985595703,0.0011897460476782214,0.00069122314453125,0.00012552410105142806,True,61.054022965853264,"{'fit_intercept': True, 'C': 61.054022965853264}",1.0,0.7222222222222223,0.7916666666666666,0.7916666666666666,0.5625,0.773611111111111,0.1407925099719354,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
45,0.0011556148529052734,0.0003612287122726631,0.0008473873138427734,3.123097741819571e-05,False,0.7196856730011519,"{'fit_intercept': False, 'C': 0.7196856730011519}",0.9444444444444444,1.0,0.875,0.7916666666666666,0.25,0.7722222222222223,0.2702593633101176,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
46,0.004839944839477539,0.00017686682765888855,0.0006416797637939453,5.284048544561573e-05,True,100.0,"{'fit_intercept': True, 'C': 100.0}",1.0,0.6666666666666667,0.7916666666666666,0.8333333333333334,0.5625,0.7708333333333334,0.14907119849998596,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
47,0.0043541908264160155,0.0007229263726702111,0.0008537769317626953,0.0002733987336107159,True,22.758459260747887,"{'fit_intercept': True, 'C': 22.758459260747887}",1.0,0.7222222222222223,0.8333333333333333,0.7916666666666667,0.5,0.7694444444444445,0.16282612099725383,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
48,0.0008366107940673828,0.00014262294258814894,0.0008113861083984375,0.0001200994066151213,False,0.2682695795279726,"{'fit_intercept': False, 'C': 0.2682695795279726}",0.8333333333333334,0.8888888888888888,0.7916666666666666,0.75,0.5,0.7527777777777778,0.13448576041011337,19,0.990909090909091,1.0,0.9967320261437909,1.0,1.0,0.9975282234105765,0.0035433284827666015,Cheesy
49,0.0012090682983398437,0.00039367715633172555,0.0006504535675048828,0.00017760308057799203,False,1.1787686347935873,"{'fit_intercept': False, 'C': 1.1787686347935873}",0.9444444444444444,0.7777777777777778,0.875,0.8333333333333334,0.3125,0.7486111111111111,0.2247426511796532,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
50,0.0023871898651123048,0.0016163251644258712,0.0005928993225097657,7.569846581074023e-05,False,3.1622776601683795,"{'fit_intercept': False, 'C': 3.1622776601683795}",1.0,0.6666666666666667,0.875,0.75,0.375,0.7333333333333334,0.21180441711898057,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
51,0.0018489837646484375,0.0013392908497506946,0.0005564689636230469,8.843986069930286e-05,False,1.9306977288832496,"{'fit_intercept': False, 'C': 1.9306977288832496}",1.0,0.6666666666666667,0.875,0.75,0.375,0.7333333333333334,0.21180441711898057,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
52,0.0008579254150390625,0.0001268420541645435,0.0007558822631835938,0.00013916667078062143,False,0.43939705607607904,"{'fit_intercept': False, 'C': 0.43939705607607904}",0.8888888888888888,0.8888888888888888,0.7083333333333334,0.7916666666666666,0.3125,0.7180555555555556,0.21370843758798175,23,0.996969696969697,1.0,1.0,1.0,1.0,0.9993939393939394,0.00121212121212122,Cheesy
53,0.005794382095336914,0.0008846296607126661,0.0012025833129882812,0.0001234356328868859,False,8.483428982440717,"{'fit_intercept': False, 'C': 8.483428982440717}",1.0,0.6666666666666667,0.8333333333333334,0.75,0.3125,0.7125,0.22836982676741205,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
